redshift,u,g,r,i,z,ra,dec,expAB_r,petroR50_r,petroR90_r
0.00637,17.18302,15.5298,14.8358,14.45299,14.34085,226.054492606833,2.54298494409086,0.8579729,9.884742,23.0641
0.006261031,17.2526,15.92325,15.27264,14.95479,14.71009,229.805506295427,2.54497187475782,0.584022,5.336911,13.66551
0.006201168,17.12663,16.1717,15.83595,15.66888,15.5067,186.172138350711,3.7214866897444,0.3748105,4.863386,10.88412
0.005948645,18.33359,17.31477,16.91541,16.68832,16.55553,189.145555049274,3.64202054499591,0.8574657,5.07139,10.08127
0.005647156,15.70465,14.70304,14.36122,14.157,14.04441,190.298247560992,1.41027792613391,0.6255931,6.662274,16.94725
0.006355164,19.81465,18.36332,17.91707,17.67546,17.51627,146.265821066067,1.23041725932944,0.7863303,2.609739,6.207649
0.006295419,17.65968,17.06266,16.92469,16.87761,16.79198,185.847526316848,1.81505021082581,0.7245818,5.123878,10.96004
0.00585956,22.86433,21.46054,22.37919,21.85209,22.12457,132.077726822419,1.26458796142495,0.5434424,0.854908,1.655045
0.00639676,19.56652,18.3749,17.87129,17.66689,17.51257,146.420778020289,1.61774442387142,0.5243301,2.934614,7.596575
0.006534921,18.34239,17.36893,17.07057,16.9513,16.84813,148.687414091953,1.60949331005042,0.314799,4.811727,10.47311
0.005819059,18.45412,17.49052,17.24428,17.15107,17.08172,150.814329605579,2.09515620874091,0.657418,5.607525,13.0519
0.005911012,21.19497,20.47836,20.04317,19.84629,20.43484,188.213706000052,2.62822592813742,0.9001323,1.021575,1.552749
0.006154884,17.23711,16.17014,15.68772,15.43274,15.29549,188.645773838281,2.56882666706762,0.6144435,8.114784,19.09217
0.00581081,15.79663,14.15142,13.41895,13.0459,12.86499,170.35414258466,3.01393636704682,0.5218725,10.0528,25.71975
0.006241285,16.43235,15.54432,15.23548,15.06837,14.97078,185.976016286295,3.08492172576277,0.508523,4.59529,11.48777
0.006001042,18.2772,16.8647,16.20962,15.90028,15.73623,217.331575060581,2.71055024542721,0.8096697,5.198676,12.4122
0.006316895,15.85497,15.82771,15.79322,16.06693,16.05606,147.47551086909,0.616270270579229,0.5284386,11.12141,33.19752
0.006366497,20.73302,19.27443,18.73717,18.48419,18.2485,147.468900267862,0.618197426359725,0.8375807,0.7295254,1.251577
0.006394573,16.42636,14.85425,14.05815,13.62514,13.38954,235.498128525417,0.712785105723055,0.3335155,20.26308,51.34184
0.006171104,16.14366,14.94781,14.33128,14.06074,13.88921,217.266199548856,3.14899987597719,0.2842391,12.81418,29.47183
0.005977447,20.06252,19.59395,19.28988,19.23766,19.89419,218.951872924799,3.03836236434221,0.7526011,1.721962,2.794903
0.005867018,16.58427,15.98178,15.89037,16.05499,16.09847,219.28712433269,3.04707940141903,0.6369828,7.003707,16.78355
0.0056382,19.51465,18.27185,17.75241,17.51929,17.44512,220.012062224126,3.04113464944483,0.6959748,3.685696,8.942171
0.00592736,16.1155,14.87173,14.33408,14.04532,13.82273,217.672915634733,3.42574155201066,0.7332579,6.468848,20.70303
