objid,g,r,i,z,type,run,rerun,zNN,zNN_err,zRF,zRF_err
1237662697578365703,19.63859,19.01764,18.82189,18.80567,3,4010,301,0.088245,0.065413,0.137116,0.0920518
1237662697578430602,20.98877,19.54016,18.97761,18.57679,3,4010,301,0.228586,0.028591,0.245918,0.040852
1237662697578430922,18.59749,17.10522,16.11455,15.55145,3,4010,301,0.569264,0.083936,0.498458,0.1988
1237662697578431038,19.4695,18.46947,18.03661,17.6974,3,4010,301,0.115488,0.016931,0.119256,0.0259283
1237662697578431437,21.54439,20.9013,20.56974,20.08475,3,4010,301,0.323174,0.093093,0.256415,0.134237
1237662697578431443,21.49822,20.60855,20.36534,19.82321,3,4010,301,0.339182,0.037287,0.309321,0.0770163
1237662697578431695,21.25762,20.48552,20.03044,19.91406,3,4010,301,0.182797,0.032343,0.146047,0.048229
1237662697578431889,21.25356,19.98922,19.35513,18.88419,3,4010,301,0.148808,0.030712,0.212014,0.0997605
1237662697578431922,21.05431,19.95269,19.49831,19.10132,3,4010,301,0.335141,0.057594,0.251956,0.116726
1237662697578496488,19.10055,18.10191,17.69922,17.34426,3,4010,301,0.106286,0.013537,0.100945,0.0177341
1237662697578496742,20.93008,20.12737,19.88972,19.44866,3,4010,301,0.327908,0.038529,0.314254,0.0913322
1237662697578497020,21.00467,19.9431,19.43254,19.12396,3,4010,301,0.196803,0.025729,0.200722,0.045838
1237662697578497092,21.40418,20.58628,20.65847,20.34583,3,4010,301,0.238347,0.085118,0.312106,0.0917072
1237662697578497130,22.87721,20.81569,20.01324,19.52973,3,4010,301,0.433291,0.026372,0.447201,0.0680882
1237662697578497152,21.46126,20.49467,20.05766,19.65399,3,4010,301,0.361736,0.072048,0.217115,0.0942576
1237662697578497435,21.7654,20.7422,20.32992,20.36935,3,4010,301,0.367157,0.094113,0.346171,0.104066
1237662697578561591,21.48876,20.06202,19.3906,18.98444,3,4010,301,0.285772,0.068488,0.281395,0.119571
1237662697578561804,20.52742,19.95702,19.58373,19.6298,3,4010,301,0.09396,0.035785,0.0851961,0.0362765
1237662697578561809,17.86429,17.37729,16.98826,16.8427,3,4010,301,0.092684,0.021636,0.102969,0.0286468
1237662697578562137,21.41541,20.56016,20.40196,20.39721,3,4010,301,0.255082,0.122891,0.314409,0.0992706
1237662697578562290,22.23493,20.67239,20.06248,19.90952,3,4010,301,0.306361,0.026393,0.274401,0.0599527
1237662697578562588,21.85789,20.44491,19.99583,19.79489,3,4010,301,0.281478,0.022264,0.216735,0.0982659
1237662697578562632,21.28754,20.60226,19.84828,20.79624,3,4010,301,0.478568,0.222574,0.454616,0.211581
1237662697578562737,20.9532,20.27284,20.45301,20.27852,3,4010,301,0.155639,0.054627,0.0750366,0.0541256
1237662697578562825,22.67838,20.87089,19.98194,19.50516,3,4010,301,0.474861,0.013701,0.503752,0.0927198
1237662697578627295,18.01127,16.85857,16.24218,22.66902,3,4010,301,0.202012,0.086005,0.234795,0.100911
1237662697578627432,25.09976,17.52912,17.4015,22.82551,3,4010,301,0.163553,0.138872,0.184652,0.0997028
1237662697578627750,20.85496,19.94078,19.64029,19.55897,3,4010,301,0.24453,0.06049,0.159579,0.0768699
1237662697578627921,22.08907,20.67018,20.11248,19.46128,3,4010,301,0.43943,0.084614,0.314545,0.127087
1237662697578693253,21.65121,20.51667,19.98063,19.9324,3,4010,301,0.182888,0.04906,0.171914,0.0552009
1237662697578693504,22.39388,20.97513,20.24702,19.89576,3,4010,301,0.285379,0.076855,0.267247,0.107792
